,0
AL,1.0321491105965888
AT,2.461531310686008
BA,0.9998699470083943
BG,1.0108820157216345
CH,1.475040080604367
CZ,1.0586165923910886
DE,16.614581385818553
ES,1.0094514203308715
FI,1.8677404872599348
FR,1.8611443765659297
GB,64.51220518067866
GR,1.0399533579524878
HR,1.2055598238638834
HU,1.7034705051336863
IE,216.91961309744002
IT,0.08467018815702018
ME,1.8603407144637312
NO,1.0113221978103564
PL,1.7856279673588362
PT,2.7348047030530585
RO,1.1543081959021069
RS,3.161994831721926
SE,1.149196764472344
SI,3.489211612576765
SK,6.635946084772727
